"","alias","pop","parent","dims","gating_method","gating_args","collapseDataForGating","groupBy","preprocessing_method","preprocessing_args"
"1","nonDebris","+","root","FSC-A","gate_mindensity","",NA,NA,"",NA
"2","singlets","+","nonDebris","FSC-A,FSC-H","singletGate","",NA,NA,"",NA
"3","lymph","+","singlets","FSC-A,SSC-A","flowClust","K=2,target=c(1e5,5e4)",NA,NA,"prior_flowClust",NA
"4","cd3","+","lymph","CD3","gate_mindensity","",TRUE,4,"",NA
"5","*","-/++/-","cd3","cd4,cd8","gate_mindensity","gate_range=c(1,3)",NA,NA,"",NA
"6","activated cd4","++","cd4+cd8-","CD38,HLA","tailgate","",NA,NA,"standardize_flowset",NA
"7","activated cd8","++","cd4-cd8+","CD38,HLA","tailgate","tol=0.08",NA,NA,"standardize_flowset",NA
"8","CD45_neg","-","cd4+cd8-","CD45RA","gate_mindensity","gate_range=c(2,3)",NA,NA,"",NA
"9","CCR7_gate","+","CD45_neg","CCR7","flowClust","neg=1,pos=1",NA,NA,"",NA
"10","*","+/-+/-","cd4+cd8-","CCR7,CD45RA","refGate","CD45_neg:CCR7_gate",NA,NA,"",NA
"11","*","+/-+/-","cd4-cd8+","CCR7,CD45RA","gate_mindensity","",NA,NA,"",NA
